provincia,poblacion
PERÚ,32625948
AMAZONAS,426806
CHACHAPOYAS,63188
BAGUA,84672
BONGARÁ,26830
CONDORCANQUI,51344
LUYA,47827
RODRÍGUEZ DE MENDOZA,33651
UTCUBAMBA,119294
ÁNCASH,1180638
HUARAZ,185276
AIJA,6433
ANTONIO RAYMONDI,13950
ASUNCIÓN,7710
BOLOGNESI,24012
CARHUAZ,50007
CARLOS FERMÍN FITZCARRALD,18496
CASMA,57256
CORONGO,8017
HUARI,63264
HUARMEY,33066
HUAYLAS,56557
MARISCAL LUZURIAGA,21787
OCROS,7224
PALLASCA,24371
POMABAMBA,26675
RECUAY,18085
SANTA,474053
SIHUAS,28630
YUNGAY,55769
APURÍMAC,430736
ABANCAY,120116
ANDAHUAYLAS,150758
ANTABAMBA,11781
AYMARAES,24570
COTABAMBAS,55208
CHINCHEROS,46544
GRAU,21759
AREQUIPA,1497438
AREQUIPA,1175765
CAMANÁ,61708
CARAVELÍ,43690
CASTILLA,34743
CAYLLOMA,97458
CONDESUYOS,16426
ISLAY,54851
LA UNIÓN,12797
AYACUCHO,668213
HUAMANGA,317801
CANGALLO,32482
HUANCA SANCOS,8341
HUANTA,97205
LA MAR,75277
LUCANAS,51838
PARINACOCHAS,29139
PÁUCAR DEL SARA SARA,9909
SUCRE,9292
VÍCTOR FAJARDO,19866
VILCAS HUAMÁN,17063
CAJAMARCA,1453711
CAJAMARCA,388170
CAJABAMBA,83167
CELENDÍN,83916
CHOTA,151714
CONTUMAZÁ,29357
CUTERVO,123948
HUALGAYOC,83913
JAÉN,203724
SAN IGNACIO,145770
SAN MARCOS,51678
SAN MIGUEL,47114
SAN PABLO,22638
SANTA CRUZ,38602
PROV. CONST. DEL CALLAO,1129854
CUSCO,1357075
CUSCO,511019
ACOMAYO,24000
ANTA,63131
CALCA,71582
CANAS,34754
CANCHIS,106476
CHUMBIVILCAS,70143
ESPINAR,62059
LA CONVENCIÓN,167910
PARURO,26644
PAUCARTAMBO,47579
QUISPICANCHI,101735
URUBAMBA,70043
HUANCAVELICA,365317
HUANCAVELICA,121265
ACOBAMBA,37503
ANGARAES,53901
CASTROVIRREYNA,14588
CHURCAMPA,33883
HUAYTARÁ,18182
TAYACAJA,85995
HUÁNUCO,760267
HUÁNUCO,315799
AMBO,53247
DOS DE MAYO,32427
HUACAYBAMBA,16372
HUAMALÍES,52095
LEONCIO PRADO,138275
MARAÑÓN,29160
PACHITEA,50086
PUERTO INCA,36987
LAURICOCHA,17114
YAROWILCA,18705
ICA,975182
ICA,445752
CHINCHA,262110
NASCA,78472
PALPA,14832
PISCO,174016
JUNÍN,1361467
HUANCAYO,595183
CONCEPCIÓN,59138
CHANCHAMAYO,167385
JAUJA,88405
JUNÍN,22757
SATIPO,239105
TARMA,91849
YAULI,40041
CHUPACA,57604
LA LIBERTAD,2016771
TRUJILLO,1118724
ASCOPE,123480
BOLÍVAR,15982
CHEPÉN,86411
JULCÁN,30987
OTUZCO,85091
PACASMAYO,112970
PATAZ,85092
SÁNCHEZ CARRIÓN,168670
SANTIAGO DE CHUCO,55868
GRAN CHIMÚ,28290
VIRÚ,105206
LAMBAYEQUE,1310785
CHICLAYO,862709
FERREÑAFE,107241
LAMBAYEQUE,340835
LIMA,10628470
LIMA,9674755
BARRANCA,151095
CAJATAMBO,6332
CANTA,11593
CAÑETE,250420
HUARAL,194375
HUAROCHIRÍ,62381
HUAURA,240717
OYÓN,17137
YAUYOS,19665
LORETO,1027559
MAYNAS,550551
ALTO AMAZONAS,149892
LORETO,71904
MARISCAL RAMÓN CASTILLA,59232
REQUENA,64459
UCAYALI,62477
DATEM DEL MARAÑÓN,59870
PUTUMAYO,9174
MADRE DE DIOS,173811
TAMBOPATA,140214
MANU,21118
TAHUAMANU,12479
MOQUEGUA,192740
MARISCAL NIETO,95551
GENERAL SÁNCHEZ CERRO,14503
ILO,82686
PASCO,271904
PASCO,125164
DANIEL ALCIDES CARRIÓN,46179
OXAPAMPA,100561
PIURA,2047954
PIURA,894847
AYABACA,127737
HUANCABAMBA,118533
MORROPÓN,173193
PAITA,144581
SULLANA,336678
TALARA,152037
SECHURA,86955
PUNO,1239022
PUNO,230273
AZÁNGARO,114007
CARABAYA,78511
CHUCUITO,90742
EL COLLAO,67392
HUANCANÉ,59769
LAMPA,42996
MELGAR,70119
MOHO,19776
SAN ANTONIO DE PUTINA,35803
SAN ROMÁN,335193
SANDIA,56575
YUNGUYO,37866
SAN MARTÍN,884283
MOYOBAMBA,132050
BELLAVISTA,59867
EL DORADO,42145
HUALLAGA,29597
LAMAS,87816
MARISCAL CÁCERES,71100
PICOTA,43491
RIOJA,129260
SAN MARTÍN,212857
TOCACHE,76100
TACNA,363205
TACNA,338421
CANDARAVE,6242
JORGE BASADRE,12295
TARATA,6247
TUMBES,246699
TUMBES,168659
CONTRALMIRANTE VILLAR,23431
ZARUMILLA,54609
UCAYALI,574509
CORONEL PORTILLO,437302
ATALAYA,59396
PADRE ABAD,74494
PURÚS,3317
